"id","correspondences"
"minor01","birth, creation, a gift, a surprise, solitude"
"minor02","balance, unity, duality, conflict, tension, patience, relationship, instability"
"minor03","social interaction, groups, decisiveness, resolve, point of no return"
"minor04","re-evaluation, contemplation, time to rest and reflect, crossroads, stability"
"minor05","change, loss, hard times, confusion, discord, dissonance, balance of power, dominance and submission"
"minor06","consequences of past action, new beginnings, departure, balance, harmony, awareness"
"minor07","solitude, acting alone, inner conviction"
"minor08","recurrence, cycles, determination, focus, purpose"
"minor09","solitude, isolation, anticipation, anxiety, nearing completion"
"minor10","finality, the end of a cycle"
"minor11","instinctual desire, routine, movement, training"
"minor12","physical desire, sub-conscious, behind-the-scenes, drive"
"minor13","emotional desire, drawn attention, ambition, desire, pleasure"
"minor14","intellectual desire, concentrated attention, synthesis, supervision, consciousness"
"major00","new beginnings, spontaneity, ignorance, amor fati, unorthadox, forgotten power"
"major01","conscious action, acting with will, concentrated attention, creativity"
"major02","patience, discernment, balance, guidance, passive action, sub-conscious"
"major03","point of no return, decisiveness"
"major04","stability"
"major05","academia, heritage, discipline, doing what is expected, the Establishment, commitment to a cause, dominance/submission, roles"
"major06","awareness, harmony, forming a union, physical attraction, making a connection, determining what you really care about, roles"
"major07","inner conviction, acting alone"
"major08","recurrence, determination, purpose"
"major09","instrospection, anticipation/anxiety, contemplation, end of a cycle, offering or seeking guidance, quitting old habits, withdraw from worldly affairs, acting alone"
"major10","change, transition, finality, the end of a cycle, new beginnings"
"major11","awareness"
"major12","patience, passivity"
"major13","point of no return, decisiveness"
"major14","stability"
"major15","dominance and submission, uncontrolled energy, change"
"major16","awareness, departure"
"major17","acting alone"
"major18","cycles, recurrence, focus"
"major19","acting alone, awareness, nearing completion"
"major20","communication, cycles"
"major21","appearances, essence, roles"
